Title,Author,Engagement Type,Time Required,Pages,Challenge,Medium,Platform,Environment,Goal,Priority
Africans in Colonial Louisiana: The Development of Afro-Creole Culture in the Eighteenth-Century,Gwendolyn Midlo Hall,Active,8.796296296,380,medium,physical,N/A,desktop,(b) learn cultural heritge,2
Facing Hawaiiʻs Future: Harvesting Essential Information about GMOʻs,Hawaiʻi Seed,Passive,86.11111111,62,medium,physical,N/A,mobile,(e) paper co,2
The True God of Hawaii: The Case for Io,Daniel Kikawa,Active,215.2777778,155,medium,physical,N/A,desktop,(a) define spiritual beliefs,1
The One Year Chronological Bible,Various,Active,2198.611111,1583,high,physical,N/A,desktop,(a) define spiritual beliefs,1
Waterman: The Life and Times of Duke Kahanamoku,David Davis,Active,355.5555556,256,medium,physical,N/A,desktop,(d) self-education,2
Hilo Legends,Frances Reed,Passive,93.05555556,67,low,physical,N/A,mobile,(c) entertain and inspire,3
Chinampas,Alfred Aghanjanian,Active,147.2222222,106,low,physical,N/A,desktop,(e) paper co,2
Islands Linked by Ocean,Lisa Linn Kanae,Passive,238.8888889,172,medium,physical,N/A,mobile,(c) entertain and inspire,1
The Deep Range,Arthur C. Clarke,Passive,313.8888889,226,low,physical,N/A,mobile,(c) entertain and inspire,3
Introduction to Networking,Charles Severance,Passive,154.1666667,111,medium,physical,N/A,mobile,(d) self-education,1
The E Myth Revisited,Micheal E. Gerber,Passive,369.4444444,266,medium,physical,N/A,mobile,(d) self-education,2
Activists Under Surveillance: The FBI Files,Jameel Jaffer,Passive,544.4444444,392,medium,digital - visual,Ebook Central,desktop,(d) self-education,3
One Straw Revolution,Masanobu Fukuoka,Passive,251.3888889,181,low,physical,N/A,mobile,(e) paper co,1
"Pornography, Psychadelics, Technology",E. J. Mishan,Passive,266.6666667,192,low,digital - visual,Ebook Central,desktop,(d) self-education,3
Hawaiiʻs Story,Liliuokalani,Active,568.0555556,409,high,digital - visual,Apple Books,mobile,(d) self-education,3
Attention Span,Gloria Mark,Passive,511.1111111,368,low,digital - visual,Apple Books,both,(d) self-education,1
War and the Christian Conscience,Albert Marrin,Active,462.5,333,high,digital - visual,PDF,desktop,(a) define spiritual beliefs,1
The Tony Blaur Spear System,Tony Blaur ,Passive,147.2222222,106,low,digital - visual,Kindle,both,(d) self-education,3
Science Confirms the Existence of God,Kevin Bradford Ornellas,Active,312.5,225,high,digital - visual,Kindle,both,(f) connect with living authors,1
